,tag,text,0
76979,I-ORG,juht,152
5505,B-LOC,elav,151
2686,B-LOC,aga,150
92521,I-PER,koos,150
87869,I-PER,aga,150
63568,B-PER,saab,150
62402,B-PER,puhul,149
30038,B-LOC,tänaval,148
80619,I-ORG,oma,146
16230,B-LOC,maantee,146
68647,B-PER,välja,144
27250,B-LOC,sündinud,143
96309,I-PER,peab,142
0,B-LOC,!,142
12,B-LOC,--,139
99589,I-PER,tegi,137
24741,B-LOC,saatkonna,137
52262,B-PER,ema,136
91891,I-PER,kinnitab,135
26528,B-LOC,suurima,134
90865,I-PER,jt,133
8724,B-LOC,jaoks,133
39569,B-ORG,kui,131
10667,B-LOC,kesklinnas,131
31631,B-LOC,vastu,128
58525,B-PER,läks,127
73566,I-ORG,?,127
33158,B-LOC,ära,127
63883,B-PER,seda,126
46975,B-ORG,või,125
24845,B-LOC,sai,124
54424,B-PER,juures,124
97874,I-PER,räägib,124
29730,B-LOC,turule,123
81050,I-ORG,peadirektor,123
65623,B-PER,teab,122
29729,B-LOC,turul,122
33957,B-LOC,üle,122
85712,I-PER,...,122
52299,B-PER,endale,121
16237,B-LOC,maanteel,121
81406,I-ORG,poolt,121
51182,B-PER,arvab,121
56002,B-PER,kohta,121
42404,B-ORG,peadirektor,121
2851,B-LOC,ajal,120
49384,B-PER,ON,120
54420,B-PER,juurde,118
101201,I-PER,vastu,118
92219,I-PER,kohta,118
19516,B-LOC,oleks,117
52355,B-PER,ennast,116
89171,I-PER,ehk,116
3655,B-LOC,armee,116
18882,B-LOC,nii,113
75975,I-ORG,esimees,112
68998,B-PER,võttis,112
68794,B-PER,võib,112
6064,B-LOC,esimene,112
60149,B-PER,nii,112
10306,B-LOC,kaudu,112
101589,I-PER,väidab,110
95764,I-PER,oleks,109
40365,B-ORG,liige,108
91974,I-PER,kirjutab,108
91981,I-PER,kirjutas,108
5619,B-LOC,elu,107
3979,B-LOC,asuva,107
59061,B-PER,meelest,106
68605,B-PER,väitel,106
11603,B-LOC,kohta,105
65992,B-PER,tema,104
88371,I-PER,arvab,104
60651,B-PER,olid,104
68519,B-PER,väga,104
81485,I-ORG,president,103
32343,B-LOC,väga,102
52294,B-PER,end,102
95440,I-PER,nime,102
91049,I-PER,juures,101
21110,B-LOC,piiri,101
19553,B-LOC,olid,101
69547,B-PER,üle,101
30652,B-LOC,uue,100
15757,B-LOC,läbi,99
21974,B-LOC,presidendi,99
38650,B-ORG,kaudu,99
83484,I-ORG,tegevdirektor,99
78427,I-ORG,kui,99
54001,B-PER,isa,99
47542,B-PER,...,98
32804,B-LOC,võiks,98
62546,B-PER,pärast,98
10662,B-LOC,kesklinna,98
86258,I-PER,;,97
29448,B-LOC,tuleb,96
17028,B-LOC,mehed,96
55613,B-PER,kinnitab,96
20688,B-LOC,peab,96
65411,B-PER,tahab,96
87533,I-PER,The,96
61655,B-PER,pidi,96
64052,B-PER,selle,95
21596,B-LOC,politsei,95
66584,B-PER,tuli,94
73163,I-ORG,...,94
10432,B-LOC,keeles,94
11400,B-LOC,kodanik,93
64223,B-PER,siiski,92
5491,B-LOC,elanud,92
97945,I-PER,saab,92
34603,B-ORG,3,91
53070,B-PER,hakkas,91
58451,B-PER,läheb,90
52151,B-PER,elab,90
99507,I-PER,teeb,89
68554,B-PER,väidab,89
34858,B-ORG,?,89
38024,B-ORG,juht,89
5235,B-LOC,ega,88
55747,B-PER,kirjutab,88
11724,B-LOC,kokku,87
5506,B-LOC,elava,87
93626,I-PER,leiab,87
57092,B-PER,käis,86
62014,B-PER,polnud,86
54439,B-PER,jäi,85
52040,B-PER,ega,85
47530,B-PER,&,85
67350,B-PER,usub,85
66544,B-PER,tuleb,85
26910,B-LOC,sõja,84
68975,B-PER,võtab,84
6693,B-LOC,firmad,84
35938,B-ORG,andmetel,84
52287,B-PER,enam,84
16974,B-LOC,mees,83
13130,B-LOC,kunsti,83
20333,B-LOC,pangad,83
13625,B-LOC,käinud,83
21756,B-LOC,poolt,83
55757,B-PER,kirjutas,83
100237,I-PER,tunnistab,82
37029,B-ORG,esimees,82
23284,B-LOC,rahvas,82
42495,B-ORG,peatoimetaja,82
60648,B-PER,olevat,82
15857,B-LOC,lähistel,81
100771,I-PER,uus,81
77097,I-ORG,juures,81
5435,B-LOC,elab,80
33817,B-LOC,ühiskonna,80
68480,B-PER,von,80
85042,I-ORG,välja,80
99472,I-PER,teatas,80
3978,B-LOC,asuv,79
33238,B-LOC,ärimees,79
70384,I-LOC,ei,79
38131,B-ORG,juures,79
14000,B-LOC,külje,79
28175,B-LOC,tehtud,78
29521,B-LOC,tuli,78
9638,B-LOC,kaks,77
95644,I-PER,näitus,77
91210,I-PER,ka,77
46267,B-ORG,vahel,77
43353,B-ORG,raha,77
23246,B-LOC,rahva,77
29656,B-LOC,turg,77
54557,B-PER,jääb,77
58807,B-PER,maja,76
22571,B-LOC,pärast,76
34291,B-ORG,1,76
74886,I-ORG,andmetel,76
93202,I-PER,kõrval,76
59974,B-PER,nagu,76
37051,B-ORG,esindaja,76
73158,I-ORG,--,76
40593,B-ORG,lossi,76
69501,B-PER,üks,75
95785,I-PER,olid,75
85713,I-PER,/,75
52844,B-PER,firma,75
57203,B-PER,kõige,74
33825,B-LOC,ühiskonnas,74
18903,B-LOC,nime,73
16469,B-LOC,majandus,73
97886,I-PER,rääkis,73
73029,I-LOC,ääres,73
22354,B-LOC,puhul,73
90869,I-PER,juba,72
4924,B-LOC,dollarit,72
58308,B-PER,lubas,72
20757,B-LOC,peaminister,72
21926,B-LOC,praegu,72
2873,B-LOC,ajaloo,72
94542,I-PER,meenutab,72
101761,I-PER,võib,72
79149,I-ORG,liige,72
81132,I-ORG,peatoimetaja,72
52067,B-PER,ehk,72
30533,B-LOC,umbes,72
87813,I-PER,abikaasa,72
56087,B-PER,kokku,72
60657,B-PER,olnud,71
37993,B-ORG,juhataja,71
69791,I-LOC,),71
52203,B-PER,elu,71
20263,B-LOC,palju,71
26601,B-LOC,suursaadik,70
67552,B-PER,vahel,70
66661,B-PER,tunnistab,70
65364,B-PER,tagasi,70
90816,I-PER,jaoks,70
69125,B-PER,ära,70
42760,B-ORG,pole,70
42905,B-ORG,president,69
101620,I-PER,väitel,69
29629,B-LOC,tuntud,69
90918,I-PER,juhtimisel,69
95467,I-PER,nimetab,69
50954,B-PER,andis,69
29724,B-LOC,turu,69
30233,B-LOC,tööle,69
9838,B-LOC,kandis,69
102315,I-PER,üle,69
12397,B-LOC,koos,69
24193,B-LOC,riikides,69
64757,B-PER,surma,69
97063,I-PER,puhul,68
67131,B-PER,töötas,68
93057,I-PER,käis,68
31208,B-LOC,valitsus,68
16486,B-LOC,majanduse,68
47544,B-PER,/,67
101648,I-PER,välja,67
81537,I-ORG,professor,67
93017,I-PER,kuum@ekspress.ee,67
75523,I-ORG,direktori,66
19220,B-LOC,näiteks,66
59075,B-PER,meenutab,66
61434,B-PER,peale,65
63507,B-PER,rääkis,65
12347,B-LOC,koondise,65
33806,B-LOC,ühiskond,65
4137,B-LOC,autonäitusel,65
46555,B-ORG,vastu,65
56998,B-PER,kuulub,65
6065,B-LOC,esimese,65
24642,B-LOC,saabunud,65
9303,B-LOC,jõudnud,65
24736,B-LOC,saatkond,64
59219,B-PER,midagi,64
75671,I-ORG,eesti,64
24272,B-LOC,ringi,64
5709,B-LOC,enam,64
23731,B-LOC,registreeritud,64
50429,B-PER,abikaasa,64
57999,B-PER,lihtsalt,63
31382,B-LOC,vanalinna,63
38261,B-ORG,ka,63
30989,B-LOC,vaid,63
54021,B-PER,isegi,63
54089,B-PER,istub,63
23103,B-LOC,raha,63
5441,B-LOC,elama,62
3930,B-LOC,asub,62
91045,I-PER,juurde,62
24187,B-LOC,riikide,62
30960,B-LOC,vahet,62
52661,B-PER,ette,62
12914,B-LOC,kultuuri,62
34252,B-ORG,&,62
76697,I-ORG,ilmunud,62
86795,I-PER,Kui,62
42911,B-ORG,pressiesindaja,61
20716,B-LOC,peaks,61
47406,B-ORG,üle,61
26431,B-LOC,suunas,61
18,B-LOC,...,61
88208,I-PER,andis,61
59313,B-PER,mitte,61
50834,B-PER,alustas,61
19572,B-LOC,oludes,60
77518,I-ORG,kaudu,60
20733,B-LOC,pealinna,60
2577,B-LOC,abilinnapea,60
54866,B-PER,kaks,60
2914,B-LOC,ajalugu,60
81347,I-ORG,pole,60
56786,B-PER,kunagi,60
95479,I-PER,nimi,60
65663,B-PER,teatas,59
19566,B-LOC,olnud,59
18188,B-LOC,mõisa,59
97169,I-PER,pärast,59
31217,B-LOC,valitsuse,59
52527,B-PER,esimene,59
35578,B-ORG,aga,58
57294,B-PER,kõrval,58
100193,I-PER,tuli,58
99753,I-PER,tema,58
91900,I-PER,kinnitusel,58
100867,I-PER,vahel,58
21198,B-LOC,piirkonna,58
67462,B-PER,vaatab,58
55322,B-PER,keeldus,57
90907,I-PER,juhitud,57
61648,B-PER,pidas,57
24379,B-LOC,rohkem,57
84405,I-ORG,uue,57
8008,B-LOC,ilmunud,57
47389,B-ORG,üks,57
8197,B-LOC,inimesed,57
30714,B-LOC,uus,57
29538,B-LOC,tulnud,57
33249,B-LOC,ärimehed,56
96679,I-PER,poeg,56
60165,B-PER,nime,56
85549,I-ORG,üks,56
60190,B-PER,nimetab,56
65428,B-PER,tahtis,56
96497,I-PER,pidas,56
57372,B-PER,küll,56
10443,B-LOC,keelt,56
54491,B-PER,järgi,56
84757,I-ORG,vastu,56
5507,B-LOC,elavad,56
2809,B-LOC,ajakirjandus,56
61240,B-PER,pani,56
47531,B-PER,',56
80647,I-ORG,omanik,56
65469,B-PER,talle,55
19477,B-LOC,okupatsiooni,55
89352,I-PER,enda,55
10420,B-LOC,keele,55
92988,I-PER,kuulub,55
89792,I-PER,firma,55
57080,B-PER,käib,55
21136,B-LOC,piiril,55
17506,B-LOC,mnt,55
67120,B-PER,töötab,55
46009,B-ORG,töötajad,55
90696,I-PER,isa,55
99299,I-PER,tahab,55
17492,B-LOC,mitte,55
97370,I-PER,raamatu,55
20494,B-LOC,parim,54
66280,B-PER,toob,54
24070,B-LOC,riigid,54
33320,B-LOC,ääres,54
85117,I-ORG,võib,54
40861,B-ORG,maja,54
88228,I-PER,annab,54
60570,B-PER,nüüd,54
82338,I-ORG,saab,54
25107,B-LOC,seda,54
42400,B-ORG,peab,53
57070,B-PER,käest,53
42405,B-ORG,peadirektori,53
797,B-LOC,;,53
89745,I-PER,filmi,53
54462,B-PER,jälle,53
96767,I-PER,poole,53
58754,B-PER,maha,53
24184,B-LOC,riik,52
18586,B-LOC,nagu,52
89773,I-PER,filmis,52
24052,B-LOC,riigi,52
91099,I-PER,järgi,52
61126,B-PER,pakub,52
38012,B-ORG,juhid,52
12671,B-LOC,kriisi,52
43932,B-ORG,sadama,52
90188,I-PER,hinnangul,52
100540,I-PER,töötab,52
99162,I-PER,sündis,52
31385,B-LOC,vanalinnas,52
6711,B-LOC,firmale,52
19,B-LOC,/,52
11004,B-LOC,kinodes,52
98298,I-PER,selle,52
97806,I-PER,romaani,52
20596,B-LOC,passi,51
68820,B-PER,võiks,51
67427,B-PER,uus,51
4590,B-LOC,börsil,51
73146,I-ORG,!,51
101919,I-PER,võttis,51
67052,B-PER,töö,51
50978,B-PER,annab,51
43946,B-ORG,sai,51
97369,I-PER,raamat,51
17325,B-LOC,midagi,50
91896,I-PER,kinnitas,50
93630,I-PER,leidis,50
76004,I-ORG,esindaja,50
59601,B-PER,mängib,50
6694,B-LOC,firmade,50
55945,B-PER,kogu,50
16762,B-LOC,marka,50
67369,B-PER,uue,50
60345,B-PER,näeb,50
32851,B-LOC,võimud,50
69794,I-LOC,-,50
101907,I-PER,võtab,50
8469,B-LOC,iseseisvuse,49
57839,B-PER,leidis,49
66879,B-PER,tänava,49
41063,B-ORG,mehed,49
93047,I-PER,käest,49
62044,B-PER,poole,49
100697,I-PER,usub,49
35715,B-ORG,aktsia,49
48013,B-PER,;,49
50596,B-PER,ajal,49
50556,B-PER,ainult,49
53067,B-PER,hakkab,49
33946,B-LOC,üldse,49
16374,B-LOC,maha,49
27018,B-LOC,sõjaväe,49
42484,B-ORG,peasekretär,48
20726,B-LOC,peale,48
43079,B-ORG,puhul,48
20743,B-LOC,pealinnas,48
61121,B-PER,pakkus,48
323,B-LOC,1993,48
46197,B-ORG,uus,48
30061,B-LOC,tänavatel,48
69689,B-PER,ümber,48
19548,B-LOC,olevat,48
59520,B-PER,muusika,48
43937,B-ORG,sadamas,48
96962,I-PER,projekteeritud,47
76964,I-ORG,juhi,47
1863,B-LOC,Panga,47
93028,I-PER,käe,47
62156,B-PER,praegu,47
94003,I-PER,lugu,47
69595,B-PER,üles,47
25643,B-LOC,sisse,47
55152,B-PER,kasutab,47
75725,I-ORG,ehk,47
61430,B-PER,peaks,47
63889,B-PER,see,47
12251,B-LOC,kooli,46
28997,B-LOC,toodud,46
100724,I-PER,uue,46
60398,B-PER,näitab,46
54587,B-PER,jõudis,46
60992,B-PER,otsustas,46
63604,B-PER,saanud,46
64751,B-PER,suri,46
24806,B-LOC,sadamas,46
59446,B-PER,mulle,46
25273,B-LOC,selle,46
42254,B-ORG,panga,46
100500,I-PER,tööd,46
32316,B-LOC,väed,46
34260,B-ORG,--,46
46779,B-ORG,volikogu,46
69790,I-LOC,(,46
5304,B-LOC,ehk,46
77193,I-ORG,ka,46
33746,B-LOC,ühes,46
59041,B-PER,meeldib,46
40375,B-ORG,liikmed,45
59947,B-PER,naerab,45
91987,I-PER,kirjutatud,45
13628,B-LOC,käis,45
76941,I-ORG,juba,45
62867,B-PER,raha,45
52017,B-PER,eest,45
53169,B-PER,hea,45
36538,B-ORG,direktor,45
15359,B-LOC,lipu,45
82424,I-ORG,sai,45
68609,B-PER,väitis,45
62816,B-PER,raamat,45
32346,B-LOC,vägede,45
53461,B-PER,hoopis,45
58335,B-PER,lugu,45
19015,B-LOC,noorte,45
66651,B-PER,tunneb,45
15876,B-LOC,läks,44
92534,I-PER,koostatud,44
99438,I-PER,teab,44
15725,B-LOC,luure,44
61218,B-PER,paneb,44
37962,B-ORG,jaoks,44
74879,I-ORG,andis,44
22484,B-LOC,puudub,44
58422,B-PER,läbi,44
2784,B-LOC,ainult,44
69413,B-PER,ühe,44
100494,I-PER,töö,44
64673,B-PER,suhtes,44
71659,I-LOC,oli,44
74650,I-ORG,ajakirjanik,44
42826,B-ORG,poole,44
13591,B-LOC,käib,44
52360,B-PER,enne,44
91963,I-PER,kirjeldab,44
35641,B-ORG,ajakirjanik,43
88848,I-PER,de,43
60655,B-PER,olla,43
95748,I-PER,of,43
94134,I-PER,läks,43
20863,B-LOC,peetud,43
28431,B-LOC,tema,43
81051,I-ORG,peadirektori,43
2908,B-LOC,ajaloos,43
11566,B-LOC,kohal,43
26458,B-LOC,suure,43
14874,B-LOC,lennuväljal,43
26647,B-LOC,suuruselt,43
89142,I-PER,ega,43
11387,B-LOC,kodakondsuse,43
81493,I-ORG,pressiesindaja,43
2810,B-LOC,ajakirjanduse,43
50771,B-PER,alles,42
88131,I-PER,alustas,42
67609,B-PER,vaid,42
91059,I-PER,jäi,42
17087,B-LOC,meistrivõistlustel,42
14003,B-LOC,küll,42
26824,B-LOC,sõda,42
99986,I-PER,toob,42
27940,B-LOC,tee,42
15801,B-LOC,läheb,42
46008,B-ORG,töötaja,42
32545,B-LOC,välisminister,42
18975,B-LOC,noored,42
3857,B-LOC,asja,42
16300,B-LOC,maavanem,42
15006,B-LOC,liiga,42
34016,B-LOC,üles,42
43845,B-ORG,saab,42
31762,B-LOC,veini,42
18613,B-LOC,naised,42
68372,B-PER,viis,42
60207,B-PER,nimi,42
16451,B-LOC,maja,42
96404,I-PER,pekka@ekspress.ee,42
80564,I-ORG,of,42
60924,B-PER,ostis,42
57832,B-PER,leiab,42
8556,B-LOC,jaama,42
21556,B-LOC,poliitikud,42
98805,I-PER,sulev@ekspress.ee,42
53336,B-PER,hinnangul,42
55625,B-PER,kinnitusel,42
75857,I-ORG,endine,41
41891,B-ORG,oleks,41
62818,B-PER,raamatu,41
5167,B-LOC,ees,41
46153,B-ORG,uue,41
28878,B-LOC,toimub,41
24676,B-LOC,saadik,41
6465,B-LOC,festivali,41
10406,B-LOC,keel,41
40597,B-ORG,lossis,41
2815,B-LOC,ajakirjanduses,41
7754,B-LOC,hästi,41
93913,I-PER,loodud,41
9294,B-LOC,jõudis,41
8195,B-LOC,inimene,41
35745,B-ORG,aktsiatest,41
28994,B-LOC,toodetud,41
34519,B-ORG,2000,41
21536,B-LOC,poliitika,41
96195,I-PER,pani,41
96502,I-PER,pidi,41
27460,B-LOC,tahab,41
6504,B-LOC,filmi,41
53765,B-PER,ikka,41
21670,B-LOC,polnud,41
53607,B-PER,hääl,41
5437,B-LOC,elades,41
65305,B-PER,taas,41
58295,B-PER,lubab,41
95452,I-PER,nimeline,41
66938,B-PER,tõi,41
13087,B-LOC,kuni,40
100164,I-PER,tuleb,40
27958,B-LOC,teel,40
90733,I-PER,isiklikult,40
88629,I-PER,avaldas,40
58547,B-PER,lõi,40
51247,B-PER,asemel,40
98280,I-PER,selgitab,40
56929,B-PER,kutsus,40
85725,I-PER,1.,40
51086,B-PER,armastab,40
5722,B-LOC,enda,40
24792,B-LOC,sadama,40
44140,B-ORG,selle,40
75978,I-ORG,esimehe,40
63385,B-PER,rohkem,40
101547,I-PER,von,40
51194,B-PER,arvas,40
96065,I-PER,paavo@ekspress.ee,40
101253,I-PER,veel,40
98158,I-PER,seda,40
89287,I-PER,elu,40
66624,B-PER,tundis,40
58206,B-PER,loodab,40
18470,B-LOC,müüri,40
24751,B-LOC,saatkonnas,40
65187,B-PER,sündis,39
9217,B-LOC,jääb,39
94921,I-PER,muusika,39
89096,I-PER,ees,39
54361,B-PER,just,39
4412,B-LOC,biennaalil,39
61970,B-PER,poleks,39
15185,B-LOC,linna,39
64132,B-PER,seotud,39
95582,I-PER,näeb,39
34278,B-ORG,/,39
60698,B-PER,omakorda,39
28100,B-LOC,tegutsev,39
95622,I-PER,näitab,39
66672,B-PER,tunnistas,39
14795,B-LOC,lennujaamas,39
95474,I-PER,nimetas,39
94998,I-PER,mäletab,39
6320,B-LOC,ettevõtted,39
30373,B-LOC,tüdruk,39
26881,B-LOC,sõita,39
81396,I-ORG,poole,39
101022,I-PER,valitsus,39
81471,I-ORG,presidendi,39
84456,I-ORG,uus,39
100548,I-PER,töötas,39
81043,I-ORG,peaarst,39
77802,I-ORG,kirjutas,39
13106,B-LOC,kuningas,39
95424,I-PER,nii,39
35726,B-ORG,aktsiaid,39
94662,I-PER,mihkel@ekspress.ee,39
34662,B-ORG,4,39
30196,B-LOC,tööd,39
93579,I-PER,lavastatud,39
51924,B-PER,edu,39
73165,I-ORG,/,38
13290,B-LOC,kunstnik,38
88203,I-PER,and,38
4407,B-LOC,biennaali,38
6075,B-LOC,esimest,38
46976,B-ORG,võib,38
98833,I-PER,suri,38
55995,B-PER,kohe,38
5487,B-LOC,elanikud,38
21717,B-LOC,pool,38
48506,B-PER,III,38
47535,B-PER,+,38
101622,I-PER,väitis,38
9247,B-LOC,jäänud,38
75986,I-ORG,esimene,38
35742,B-ORG,aktsiate,38
74735,I-ORG,aktsiate,38
65632,B-PER,teadis,38
102298,I-PER,üks,38
96747,I-PER,polnud,38
32850,B-LOC,võimu,38
89539,I-PER,esimene,38
8427,B-LOC,ise,38
53290,B-PER,hiljem,38
39319,B-ORG,kontserdisaalis,37
14790,B-LOC,lennujaama,37
52169,B-PER,elas,37
52298,B-PER,endal,37
23500,B-LOC,rannas,37
39383,B-ORG,koos,37
61203,B-PER,palus,37
20395,B-LOC,pank,37
80335,I-ORG,nime,37
24703,B-LOC,saanud,37
24737,B-LOC,saatkonda,37
2788,B-LOC,ainus,37
55728,B-PER,kirjeldab,37
11416,B-LOC,kodanikud,37
25355,B-LOC,seni,37
38057,B-ORG,juhtkond,37
30741,B-LOC,uut,37
26454,B-LOC,suur,37
11567,B-LOC,kohale,37
45160,B-ORG,tegi,37
50713,B-PER,alati,37
69364,B-PER,õppis,37
3136,B-LOC,all,37
61924,B-PER,poeg,37
87466,I-PER,Sündinud,37
13088,B-LOC,kuninga,37
89743,I-PER,film,37
57178,B-PER,kätte,37
101567,I-PER,väga,37
47303,B-ORG,ühe,37
60361,B-PER,nägu,36
7971,B-LOC,ikka,36
39075,B-ORG,kohta,36
73340,I-ORG,2.,36
94364,I-PER,maja,36
16620,B-LOC,maksab,36
34275,B-ORG,...,36
353,B-LOC,2.,36
90828,I-PER,jne,36
90762,I-PER,istub,36
31055,B-LOC,vajab,36
95453,I-PER,nimelise,36
19916,B-LOC,osa,36
1980,B-LOC,Põlevkivi,36
18442,B-LOC,müügile,36
20851,B-LOC,peetakse,36
35924,B-ORG,and,36
11674,B-LOC,kohus,36
78254,I-ORG,koos,36
17001,B-LOC,meeste,36
11840,B-LOC,kolm,36
40383,B-ORG,liikmeks,36
54377,B-PER,jutu,36
57427,B-PER,küsis,36
33178,B-LOC,äri,36
21495,B-LOC,poiss,36
24150,B-LOC,riigis,36
38010,B-ORG,juhi,36
64065,B-PER,sellest,36
59798,B-PER,mõtleb,36
90867,I-PER,jt.,36
25080,B-LOC,seaduste,35
91083,I-PER,järel,35
21024,B-LOC,pidi,35
34074,B-LOC,ülikooli,35
25385,B-LOC,seotud,35
34257,B-ORG,+,35
37990,B-ORG,juba,35
24932,B-LOC,sama,35
98607,I-PER,soovitab,35
17053,B-LOC,meister,35
9412,B-LOC,kaasa,35
65627,B-PER,teada,35
45127,B-ORG,tegevdirektor,35
59915,B-PER,müüs,35
23589,B-LOC,raudtee,35
69959,I-LOC,?,35
44052,B-ORG,seda,35
34710,B-ORG,5,35
100588,I-PER,tütar,35
77090,I-ORG,juurde,35
12294,B-LOC,koolis,35
57214,B-PER,kõik,35
85414,I-ORG,õppejõud,35
31881,B-LOC,vene,35
50572,B-PER,ajab,35
24691,B-LOC,saaks,35
76542,I-ORG,hoone,35
17085,B-LOC,meistrivõistluste,35
37744,B-ORG,ilmunud,35
31266,B-LOC,vallavanem,35
93987,I-PER,lubas,35
12150,B-LOC,kontekstis,35
28070,B-LOC,tegi,35
95015,I-PER,mängib,35
27802,B-LOC,teadlased,35
99627,I-PER,tehtud,35
73912,I-ORG,Kui,35
11265,B-LOC,kl,35
67057,B-PER,tööd,35
59618,B-PER,mängis,35
3985,B-LOC,asuvas,35
63592,B-PER,saaks,35
48862,B-PER,Kui,34
61558,B-PER,pere,34
100003,I-PER,toomas.vabamae@ekspress.ee,34
32091,B-LOC,viimase,34
6083,B-LOC,esindaja,34
95628,I-PER,näiteks,34
60761,B-PER,ongi,34
101776,I-PER,võiks,34
65296,B-PER,ta,34
20397,B-LOC,pankade,34
50477,B-PER,advokaat,34
45903,B-ORG,tänava,34
56149,B-PER,kolm,34
94089,I-PER,läheb,34
62789,B-PER,püüab,34
85571,I-ORG,üle,34
19658,B-LOC,omad,34
95050,I-PER,märgib,34
53704,B-PER,iga,34
5468,B-LOC,elanike,34
63923,B-PER,seevastu,34
36079,B-ORG,arvates,34
68888,B-PER,võitis,34
99483,I-PER,teatri,34
74738,I-ORG,aktsiatest,34
62589,B-PER,pääses,34
26243,B-LOC,suhtes,34
13732,B-LOC,kõik,34
54257,B-PER,juhib,34
63627,B-PER,saatis,34
54097,B-PER,istus,34
65885,B-PER,teinud,34
53226,B-PER,helistas,34
55166,B-PER,kasutas,34
88216,I-PER,andmetel,33
93981,I-PER,lubab,33
89351,I-PER,end,33
65696,B-PER,teda,33
52312,B-PER,endine,33
32600,B-LOC,väljaku,33
45031,B-ORG,teatas,33
87939,I-PER,ajal,33
